"","ProjectName","round_id","ModelScore","DonorCount","ScorePerDonor"
"187","Goatfather",12,4.44444444444444,23,0.193236714975845
"188","SEINALYTICS",11,44.4444444444444,231,0.192400192400192
"189","Sei Gaming With NoFuturistic",12,14.1666666666667,74,0.191441441441441
"190","Smart",12,10.6111111111111,56,0.189484126984127
"191","Kierian",12,22.0555555555556,117,0.188509021842355
"192","Erikooled",12,11.8888888888889,64,0.185763888888889
"193","oneortwo",12,14.0555555555556,76,0.184941520467836
"194","The Sei Newbie Bot",11,16.3888888888889,89,0.18414481897628
"195","Token Talk",12,24.6666666666667,134,0.18407960199005
"196","Sei Insights with Ben",12,5.5,30,0.183333333333333
"197","Sei Nobles - Paul",12,4.38888888888889,24,0.18287037037037
"198","CJ",12,29.2222222222222,161,0.181504485852312
"199","Legendary League",12,11.0555555555556,61,0.181238615664845
"200","GirlGaming",12,18.6666666666667,103,0.181229773462783
"201","CRYPTO BULLS CLUB X SEI",12,30.9444444444444,171,0.180961663417804
"202","Play on Sei",12,31.9444444444444,177,0.180477087256748
"203","Fenton",12,16.9444444444444,94,0.180260047281324
"204","DubiousNFTLover",12,10,56,0.178571428571429
"205","Rikki {₿}",12,11.9444444444444,67,0.178275290215589
"206","Bando - Creator Series",12,42,236,0.177966101694915
"207","SLGuides Youtube",12,3.72222222222222,21,0.177248677248677
"208","Nonso heard them sei...",12,20.0555555555556,114,0.175925925925926
"209","Turtlez",12,14.5,83,0.174698795180723
"210","NFTDad.Sei",12,40.9444444444444,235,0.174231678486998
"211","TREK",11,38.1666666666667,220,0.173484848484848
"212","MILLI LightningGun",11,23.3888888888889,135,0.173251028806584
"213","Geauser",11,40.7777777777778,236,0.172787193973635
"214","SEI TECH XPLAINED",11,14.7222222222222,86,0.171188630490956
"215","Jake's Gaming on SEI",12,27.8333333333333,163,0.170756646216769
"216","SEILANA",11,12.3333333333333,73,0.168949771689498
"217","Sei Play Hub",12,11.2777777777778,67,0.16832504145937
"218","//zageth",12,13.9444444444444,83,0.168005354752343
"219","de3ngineer",11,16.3888888888889,98,0.167233560090703
"220","Ziko Crypto",11,16.2777777777778,98,0.16609977324263
"221","Code_hive",11,17.0555555555556,103,0.165587918015102
"222","Kingball",12,22.1111111111111,134,0.165008291873964
"223","Tauk Ancient OG",12,20.3888888888889,124,0.164426523297491
"224","Let Stew Out Of The Basement",12,14.6111111111111,89,0.164169787765293
"225","2lambro",12,8.33333333333333,51,0.163398692810458
"226","Machiya",12,32.0555555555556,197,0.162718556119571
"227","WisdomDD",12,10.2222222222222,63,0.162257495590829
"228","Mattcrypted",12,9.38888888888889,58,0.161877394636015
"229","DobOnX / Sei Community",12,20.5555555555556,127,0.161854768153981
"230","Midas",11,17.6111111111111,109,0.161569826707441
"231","3phraem",12,13.2222222222222,83,0.159303882195448
"232","Mrs Clare",12,19.5555555555556,124,0.157706093189964
"233","Anastasiia Gonser",12,24.1111111111111,153,0.15758896151053
"234","Jargon",12,29.1111111111111,186,0.156511350059737
"235","Crypto girl",12,23.1111111111111,148,0.156156156156156
"236","Sideyyy Web 3.0 Gaming",12,17.1666666666667,111,0.154654654654655
"237","Raid Rewards For SEI",11,17.7777777777778,115,0.154589371980676
"238","Manuelpng",12,15.6111111111111,101,0.154565456545655
"239","danyafobe",12,26.2222222222222,170,0.154248366013072
"240","Voltz",12,15.7777777777778,103,0.153182308522114
"241","WeBumpCaptainsDAO",11,13.2777777777778,87,0.152618135376756
"242","Block 24",11,11.8888888888889,78,0.152421652421652
"243","Chinese game community",12,10,66,0.151515151515152
"244","( Larp) Gaming with Jay",12,9.16666666666667,61,0.150273224043716
"245","Chris D Plays Games",12,10.2222222222222,69,0.148148148148148
"246","Moonlit - SEI lover & Creator",12,10.3333333333333,70,0.147619047619048
"247","Anastasiia - Sei in a simple words",12,18.2777777777778,124,0.147401433691756
"248","decoderdev",11,52.2777777777778,355,0.147261345852895
"249","Dammy",12,9.66666666666667,66,0.146464646464646
"250","Seivians",12,7,48,0.145833333333333
"251","DeFiwithDaniel (new)",12,13.1111111111111,90,0.145679012345679
"252","god of iron",12,24,165,0.145454545454545
"253","The SEI Gaming Show",12,8.27777777777778,57,0.145224171539961
"254","Katz",11,14.7777777777778,102,0.144880174291939
"255","Seipex Finance",11,44.0555555555556,305,0.144444444444444
"256","StarPlatinum",12,16.5,118,0.139830508474576
"257","The Qunks",11,17.2777777777778,125,0.138222222222222
"258","Yax Republic",11,14.6111111111111,106,0.137840670859539
"259","SEIYAN PLAY",12,7.5,55,0.136363636363636
"260","SEI IT OUT LOUD With Brainy",12,19.0555555555556,141,0.135145784081954
"261","The Unfrgtn",11,24.6666666666667,183,0.134790528233151
"262","SEIlluminati",11,18.5,139,0.133093525179856
"263","lost at sei ",12,9,69,0.130434782608696
"264","Benji 💨🔴",12,11,87,0.126436781609195
"265","Seiyan Trading Bot",11,28.7777777777778,229,0.125667151868025
"266","Crafty Canines",11,34.7777777777778,277,0.125551544324108
"267","Kosa on SEI 💨🔴",12,37.3333333333333,298,0.125279642058166
"268","0xKyrylo Gaming Content",12,19.8888888888889,159,0.125087351502446
"269","Synergy (BkArchived)",12,16.5555555555556,147,0.112622826908541
"270","Torii Exchange",11,20.9444444444444,192,0.109085648148148
"271","Seiyan Crash Game",12,11.3888888888889,124,0.0918458781362007
